"Name","Description"
"Abarim","Abarim is a mountain range in Moab, east of the Jordan River, from which Moses viewed the Promised Land before his death."
"Achaia","Achaia was a region in southern Greece, frequently mentioned in the New Testament as an area where Paul preached and established churches."
"Achzib","Achzib was a town in the territory of Judah, known for being a place of deceit, mentioned in the prophecies of Micah."
"Adadah","Adadah was a town in the southern region of Judah, mentioned in the list of cities in the Book of Joshua."
"Adamah","Adamah was a fortified city in the territory of Naphtali, mentioned in the list of cities in the Book of Joshua."
"Ajalon","Ajalon was a valley and a city in the territory of Dan, where Joshua defeated the Amorites, mentioned in Joshua."
"Arabah","The Arabah is a desert region extending from the Dead Sea to the Gulf of Aqaba, mentioned in various books of the Old Testament."
"Arabia","Arabia is a large region in the Arabian Peninsula, mentioned in connection with Paul’s time after his conversion, mentioned in Galatians."
"Ararat","Ararat is a mountainous region in eastern Turkey, traditionally believed to be the resting place of Noah’s Ark, mentioned in Genesis."
"Aridai","Aridai was one of the ten sons of Haman who were killed by the Jews during their defense against the Persian plot to annihilate them, mentioned in the Book of Esther."
"Arisai","Arisai was one of the ten sons of Haman who were killed by the Jews during their defense against the Persian plot to annihilate them, mentioned in the Book of Esther."
"Arphad","Arphad was a city in Syria, frequently mentioned in prophecies concerning its destruction, particularly in the Book of Isaiah."
"Arumah","Arumah was a city near Shechem, where Abimelech lived after being made king, mentioned in the Book of Judges."
"Ashdod","Ashdod was one of the five principal cities of the Philistines, known for the capture of the Ark of the Covenant, mentioned in 1 Samuel."
"Ashnah","Ashnah was a town in the territory of Judah, mentioned in the list of cities in the Book of Joshua."
"Athach","Athach is a location in southern Judah to which David sent spoils from his victories over the Amalekites. It is one of the places where David distributed gifts to those who supported him."
"Athens","Athens is a significant city in Greece known for its philosophical heritage. In the New Testament, it is where the Apostle Paul delivered his famous sermon at the Areopagus, challenging the Athenians’ worship of unknown gods and introducing them to the concept of the ‘Unknown God’ as the one true God (Acts 17) ."
"Atroth","Atroth is mentioned in Numbers 32:35 as a city built by the tribe of Gad in the land of Gilead, east of the Jordan River. It is one of the towns fortified by the Gadites after they received this land as part of their inheritance."
"Azekah","Azekah is a town in the Shephelah (lowlands) of Judah mentioned in several biblical passages. It was the site of the battle where Joshua and the Israelites defeated the Amorite kings, and it was one of the cities fortified by Rehoboam (Joshua 10 , 1 Samuel 17 , 2 Chronicles 11:9) ."
"Azotus","Azotus, also known as Ashdod, is one of the five Philistine cities mentioned in the Bible. In Acts 8:40 , it is where Philip the Evangelist was found after being transported by the Spirit of the Lord following his encounter with the Ethiopian eunuch."
"Baalah","Baalah is a town in the territory of Judah mentioned in the Bible. It is also known as Kirjath Jearim, where the Ark of the Covenant was kept before being moved to Jerusalem (Joshua 15:9-11) ."
"Bajith","Bajith is mentioned in Isaiah 15:2 as a high place in Moab where the people went to weep and worship. It is associated with the Moabite god Chemosh and symbolizes the idolatrous worship practices of the Moabites."
"Bamoth","Bamoth is a high place in Moab mentioned in Numbers 21:19-20. It is one of the places where the Israelites camped during their journey to the Promised Land."
"Bashan","Bashan was a fertile region east of the Jordan River, known for its rich pastures and mighty oak trees. It was conquered by the Israelites under Moses, and its king, Og, was defeated (Deuteronomy 3:1-13) ."
"Bethel","Bethel, meaning ‘House of God,’ is a significant city in the Bible. It was a central location in the lives of the patriarchs, where Jacob had his dream of a ladder reaching to heaven (Genesis 28:19) . It later became a site of idol worship during the divided kingdom period."
"Bether","Bether is mentioned in Song of Solomon 2:17 as a location associated with the mountains. The term ‘mountains of Bether’ is often interpreted symbolically in the context of the Song of Solomon."
"Bethul","Bethul is a town in the territory of Simeon, mentioned in Joshua 19:4. It was part of the inheritance given to Simeon within the land of Judah."
"Beulah","Beulah is mentioned in Isaiah 62:4 as a symbolic name for the land of Israel, meaning ‘married.’ It represents the renewed relationship between God and His people, as a land no longer desolate but delighting in the Lord."
"Bileam","Bileam is a town in the territory of Manasseh, mentioned in 1 Chronicles 6:70. It was given to the Levites as part of their inheritance."
"Bochim","Bochim, meaning ‘weepers,’ is the name given to the place where the Israelites wept after an angel of the Lord rebuked them for failing to drive out the inhabitants of the land (Judges 2:1-5) ."
"Bozrah","Bozrah is a significant city in Edom mentioned in Genesis 36:33, Isaiah 34:6 , and other passages. It was the capital of Edom and is frequently associated with prophecies of judgment against Edom."
"Cabbon","Cabbon is a town in the territory of Judah, mentioned in Joshua 15:40. It was part of the southern hill country of Judah."
"Cainan","Cainan is mentioned in Genesis 5:9-14 as a descendant of Adam through Seth. He lived 910 years and was the father of Mahalalel."
"Calneh","Calneh is a city mentioned in Genesis 10:10 as part of Nimrod’s kingdom in Shinar. It is also referenced in Amos 6:2 as an example of a powerful city."
"Canaan","Canaan is the name of the land promised to the descendants of Abraham, Isaac, and Jacob. It is also the name of the son of Ham, whose descendants populated this region (Genesis 9:18-27) . The land of Canaan later became the land of Israel."
"Carmel","Carmel is a mountain range in northern Israel mentioned in Joshua 12:22, known for its beauty and fertility. It is also the site of Elijah’s confrontation with the prophets of Baal (1 Kings 18) ."
"Cedron","Cedron, also known as the Kidron Valley, is a valley on the eastern side of Jerusalem mentioned in John 18:1. It is the place where Jesus crossed on his way to the Garden of Gethsemane before his arrest."
"Chebar","Chebar is a river in Babylonia, mentioned in the book of Ezekiel. It is where Ezekiel received his visions and prophecies during the Babylonian exile (Ezekiel 1:1-3) ."
"Chesil","Chesil is a town in the southern part of Judah, mentioned in Joshua 15:30. It was part of the territory allotted to the tribe of Judah."
"Chezib","Chezib is a town in the territory of Judah, mentioned in Genesis 38:5. It is the place where Judah’s wife gave birth to his son, Shelah."
"Chidon","The threshing floor of Chidon is mentioned in 1 Chronicles 13:9 as the place where Uzzah touched the Ark of the Covenant and was struck down by God."
"Clauda","Clauda is a small island mentioned in Acts 27:16, where Paul and his companions passed by during a storm on their way to Rome. It is located south of Crete in the Mediterranean Sea."
"Cnidus","Cnidus is a city on the southwestern coast of Asia Minor, mentioned in Acts 27:7. Paul’s ship struggled to pass by Cnidus due to unfavorable winds during his voyage to Rome."
"Cushan","Cushan is a region or people mentioned in Habakkuk 3:7. It is often identified with Cush, the region south of Egypt, or with the Midianites."
"Cuthah","Cuthah is a city in Babylonia mentioned in 2 Kings 17:24. The Assyrians brought people from Cuthah to repopulate the land of Israel after the Northern Kingdom was exiled."
"Cyprus","Cyprus is an island in the eastern Mediterranean mentioned frequently in the New Testament. It was the homeland of Barnabas and a key location in Paul’s missionary journeys (Acts 13:4) ."
"Cyrene","Cyrene is a city in North Africa mentioned in the New Testament. Simon of Cyrene was compelled to carry Jesus’ cross, and there were Jewish believers from Cyrene present at Pentecost (Acts 2:10 , Acts 11:20) ."
"Dannah","Dannah is a town in the hill country of Judah, mentioned in Joshua 15:49. It was part of the territory allotted to the tribe of Judah."
"Darkon","Darkon is mentioned in Ezra 2:56 and Nehemiah 7:58 as one of the families of the Nethinim who returned from the Babylonian exile. The Nethinim were temple servants who assisted the Levites."
"Dilean","Dilean is a town in the lowlands of Judah, mentioned in Joshua 15:38. It was part of the territory allotted to the tribe of Judah."
"Dimnah","Dimnah is a Levitical city in the territory of Zebulun, mentioned in Joshua 21:35. It was one of the cities given to the Levites."
